FREQ;Frekvens;BASE_CUR;Basisvaluta;QUOTE_CUR;Kvoteringsvaluta;TENOR;Løpetid;DECIMALS;CALCULATED;UNIT_MULT;Multiplikator;COLLECTION;Innsamlingstidspunkt;TIME_PERIOD;OBS_VALUE
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-09-06;7,99
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-09-07;7,98
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-09-08;7,97
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-09-11;7,95
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-09-12;7,97
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-09-13;7,99
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-09-14;7,92
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-09-15;7,86
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-09-18;7,97
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-09-19;7,93
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-09-20;7,9
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-09-21;7,92
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-09-22;7,86
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-09-25;7,86
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-09-26;7,88
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-09-27;7,84
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-09-28;7,81
B;Virkedag;ISK;Islandske kroner;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2023-09-29;7,77
