GODKJENNINGSNUMMER,VIRKSOMHETSNAVN,BEDRIFTSNUMMER,ADRESSE,POSTNR,POSTSTED,PRODUKSJONSFORM
A51,Fjordfisk As   Son Fiskemottak,915067506,Storgata 23,1555,Son,FFPP
ØF50,Fjordfisk As Avd Utgårdskilen,974994046,Utgårdskilen 4-6,1684,Vesterøy,"FFPP, FFPP-P"
H131,Fjordfisk Skånevik,983441483,Sardinfabrikken,5593,Skånevik,"FFPP, FFPP-P, PP, PP-C, PP-SA"
R210,Fjordkjøkken As,976509331,Djuphodl 2,4360,Varhaug,"FFPP-P, PP"
M317,Fjordlaks As,973170856,Fjordgata 52,6005,Ålesund,"FFPP, PP, PP-KL, PP-SA"
T380,Flakstadvåg Laks As Avd Kaldfarnes,973633716,,9395,Kaldfarnes,"FFPP-P, FFPP-SA"
N2063,Fleinvær Fiskemottak As,976392353,Fleinvær,8094,Fleinvær,"FFPP, FFPP-P"
VA202,Flykjøkkenet As,980526623,Lista Fly Og Næringspark,4560,Vanse,FFPP-P
R40,Fonn Egersund As,974100290,Kleivastø 15,5538,Haugesund,FFPP
R141,Fonn Egersund As,974100290,Lindøyveien 92,4373,Egersund,"FFPP, FFPP-P, PP, PP-C, PP-SA"
M132,Fortuna Oils As,987152303,Fiskeribasen 5,6512,Kristiansund N,PP-MA
ST135,Fosenskalldyr As,971818107,Nordnesveien 39,7167,Vallersund,"FFPP, FFPP-P, PP, PP-C, PP-M"
M2047,Fosnavaag Pelagic As,981968638,Nørvågvegen 7,6090,Fosnavåg,"FFPP, FFPP-P, PP"
F676,Frank Einar Nordstrand,994248219,,9771,Skjånes,PP-ST
N2207,Frank Pedersen,987801166,Selhaugveien 6,8093,Kjerringøy,"FFPP, FFPP-P"
N2342,Frank Roger Andersen,,Steinslandsveien 13,8754,Øresvik,PP-ST
O269,Fredriks Røkeri As,921346387,Akershusstranda 23,0150,Oslo,PP
N1409,Fredriksen Roar,978111912,Bergvn. 69,8520,Ankenesstrand,FFPP-P
ST490,Froan Forretningsdrift As,872238182,,7286,Sørburøy,FFPP
M2242,Frost Seafood Norge As,931768913,Legemyrane 4,6076,Moltustranda,FFPP-P
TL36,Frøy Rederi As,911626675,Nordfrøyveien 213,7260,Sistranda,FFPP-SA
ST462,Frøya Fryseri As,986501851,Frøya Næringspark,7270,Dyrvik,PP
TL7,Frøya Gourmet As,920781918,Norfrøyveien 957,7270,Dyrvik,"FFPP, FFPP-P"
M2241,Fsv Rederi As,922064512,Øvre Veg 24,6415,Molde,FFPP-SA
M2251,Fsv Rederi As,922064512,Øvre Veg 24,6415,Molde,FFPP-SA
VF246,Futurum Seafood As Avd Asker,917893705,Borgeskogen 65,3160,Stokke,"FFPP-P, PP, PP-C"
N2257,Futurum Seafood As Avd Henningsvær,916279884,Dreyers Gate 17,8312,Henningsvær,"FFPP, FFPP-P"
N2398,Futurum Seafood As Avd Henningsvær,916279884,Dreyers Gate 17,8312,Henningsvær,"FFPP-P, PP, RW"
H824,Fylkesnes Fisk As,972254592,Fylkesnesvegen 164,5430,Bremnes,FFPP-SA
VF242,Færder Fiskemottak As,933169081,Tenvikveien 373,3140,Nøtterøy,FFPP
N522,Gadus Norway As Avd Henningsvær,916770839,Hellandsgata 85,8312,Henningsvær,FFPP
TF64,Gamst Shilova As,925805211,Svartnes,9955,Svartnes,"FFPP, PP-C"
F243,Gamst Shilova As,925805211,Ørtangen 12,9800,Vadsø,FFPP
T1164,Gamst Steinar,974067927,Langnesbukt,9147,Birtavarre,PP-ST
T1136,Gamst Terje,917560862,Boks 376,9189,Skjervøy,PP-ST
F295,Gamvik Seafood As,995736586,Strandveien 16,9775,Gamvik,"FFPP, FFPP-P, PP"
ST861,Garnvik As,913143361,Leirvikveien 276,7273,Norddyrøy,"FFPP-P, PP, PP-ST"
2825,Gate Gorumet Norway As Unit Bergen,974225484,Flyplassvegen 439,5258,Blomsterdalen,"PP, PP-C, PP-M"
2903,Gate Gourmet Norway As Avd Gardermoen,973066137,Tryggve Grans Veg 15,2060,Gardermoen,"PP, PP-C, PP-M"
M2021,Gc Rieber Vivomega As,995672472,Teistholmsundet 6,6512,Kristiansund N,PP-MA
M931,Gjendemsjø Seafood As,993085421,Hellandshamna 88,6270,Brattvåg,PP
M2235,Gjerde Seafood As,832106992,Lausundvegen 112,6292,Kjerstad,"FFPP, PP-C"
NT814,Gjert'S Gourmet As,913841042,Lauvøyvågveien 11,7900,Rørvik,PP
N556,Glea As,973213148,Glea,8064,Røst,"FFPP, FFPP-P, PP, PP-SA, PP-ST"
N2408,Glea Salmon As,933690741,Gleaveien 11a,8064,Røst,FFPP-P
SF225,Global Florø As,911761785,Kyllervegen 4,6906,Florø,"FFPP, FFPP-P, PP"
VA207,Gorines As,994575511,Skytterheia 7,4790,Lillesand,PP
TL41,Grande Sjømat As,972109290,Havneveien 55,7142,Uthaug,FFPP
TL55,Grande Sjømat As,972109290,Kvaløysæter Kai,7770,Flatanger,FFPP
ST150,Grande Sjømat As,972109290,Havneveien 55,7142,Uthaug,"FFPP, FFPP-P, PP"
R106,"Grieg Seafood Rogaland As, Avd Erfjord Stamfisk",972117269,Kilavågen,4233,Erfjord,"FFPP, FFPP-SA"
R114,Grieg Seafood Rogaland As Avd Stjernelaks,972079561,Sjernarøyvegen 22,4170,Sjernarøy,"FFPP-P, FFPP-SA"
R205,Grilstad As Avd Stavanger,874166502,Slettestrandveien 15,4032,Stavanger,PP
M448,Grytestranda Fiskeindustri As,873295082,Grytafjordvegen 762,6265,Vatne,"FFPP, PP-KL, PP-SA"
ST151,Grøntvedt Pelagic As Avd Kråkvåg,972377481,Kråkvåg,7152,Kråkvåg,PP
ST131,Grøntvedt Pelagic As Avd Uthaug,974158930,Havneveien 1,7142,Uthaug,"FFPP, FFPP-P, PP"
TL23,Grøntvedt Pelagic As Avd Uthaug,974158930,Vestre Brekstad,7130,Brekstad,RW
TL40,Grøntvedt Pelagic As Avd Uthaug Grøntvedt Nutri,922711240,Havneveien 1,7142,Uthaug,PP-MA
T1183,Gudmund H Samuelsen,,,9147,Birtavarre,PP-ST
F716,Gunn Inger Johansen,,,9773,Nervei,PP-ST
F621,Gunnar A Noste,996145727,Suovka 48,9840,Varangerbotn,PP-ST
T1149,Gunnar Anton Fredlund,,Grønnmyrveien 1,9144,Samuelsberg,PP-ST
F62,Gunnar Ingebrigtsen,,Storekorsnesveien 230,9519,Kviby,PP-ST
TF14,Gunnar Klo As Avd Myre,973186752,Havnegata 3,8430,Myre,FFPP
N127,Gunnar Klo As Avd Myre,973186752,Havnegata 3,8430,Myre,"FFPP, FFPP-P, PP"
N119,Gunnar Klo As Avd Stø,923613439,Bårdholmen,8438,Stø,"FFPP, PP, PP-ST"
M367,Gustav Stokke As,935032407,Gustav Stokkes Veg 21,6057,Ellingsøy,"FFPP, FFPP-P, PP-KL, PP-SA"
NT92,Gutvik Fiskemottak A/L,972591106,,7993,Gutvik,FFPP
N484,H. Sverdrup,994739042,Reineveien 170,8390,Reine,"FFPP, FFPP-P, PP, PP-SA, PP-ST"
FI127,Haadem Fisk As,999325084,,2920,Leira I Valdres,PP
T1154,Hallgeir Noralf Nilsen,,Andørjaveien 2074,9455,Engenes,PP-ST
H132,Halstensen Granit As,998381851,Halstensen Granit As,5399,Bekkjarvik,PP-MA
T1080,Halvors Tradisjonsfisk As,982494060,Håndverkerveien 7b,9018,Tromsø,PP
FI129,Hande Valdres Rakfisken As,978618197,,2960,Røn,PP
M434,Hans Fauske & Sønn As,971686227,Nordstrand,6050,Valderøya,PP-KL
T1229,Hans Tore Simonsen,979879857,Tønsvikvegen 1174,9022,Krokelvdalen,PP-ST
N2182,Hans Urskog,,Sunset,8185,Vågaholmen,PP-ST
F106,Hansen Bjarne,998952301,Vestersandveien 4,9935,Bugøynes,PP-ST
T1128,Hansen Odd G,977943558,Nedre Jensvoll 11,9060,Lyngseidet,PP-ST
BU50,Hansens Røkeri As,973133802,Frydenhaugveien 2,3041,Drammen,"FFPP-P, PP"
TL35,Hansson As,914348900,Frøneshaugen,7170,Åfjord,FFPP
VL59,Hardanger Seafood As Avd Bømlo,976173074,Hovlandsvegen 270,5443,Bømlo,"FFPP-P, FFPP-SA, RW"
F705,Harder Småvik,976780353,Breverudsvingen 17,9513,Alta,PP-ST
T1155,Harry Konrad Adolfsen,,Verftsveien 16,9180,Skjervøy,PP-ST
H806,Hauglaks,921449526,Christian Michelsens Gate 6b,5012,Bergen,"FFPP-P, FFPP-SA"
H122,Hav Line As,917486565,Christian Michelsens Gate 6b,5012,Bergen,"FFPP-P, FFPP-SA"
