id,oldPath,newPath,status,candidate_count,candidates
cmoh2g70l0016n60do40t9eke,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/0cc262717a-vi-har-et-enormt-skjult-matsvinn-framtiden-i-vare-hender.pdf,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Vi har et enormt skjult matsvinn _ Framtiden i våre hender.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Vi har et enormt skjult matsvinn _ Framtiden i våre hender.pdf
cmoh2g7140017n60dhxtns400,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/7977a8583e-zero-waste-solutions-in-hospitality-technology-alignment-and-agile-management-practices-for-responsible-consumption-and-production-of-food.pdf,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Zero waste solutions in hospitality  technology alignment and agile management practices for responsible consumption and production of food.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Zero waste solutions in hospitality  technology alignment and agile management practices for responsible consumption and production of food.pdf
cmoh2g71v0018n60drztj5ii3,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/b3c4abd386-2023-danish-action-plan-for-plant-based-foods.pdf,research/arkiv-sortert/Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/2023-Danish-Action-Plan-for-Plant-based-Foods.pdf,auto_canonical,2,research/arkiv-sortert/Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/2023-Danish-Action-Plan-for-Plant-based-Foods.pdf | research/arkiv-sortert/Food Research Process 20.04.26/99_Exact_Duplicates/2023-Danish-Action-Plan-for-Plant-based-Foods (1).pdf
cmoh2g72c0019n60dzhlv92xw,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/8831ac4193-approval-insect-novel-food-food-safety-european-commission.pdf,research/arkiv-sortert/Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/approval insect novel food - Food Safety - European Commission.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/approval insect novel food - Food Safety - European Commission.pdf
cmoh2g72s001an60djgwstfxi,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/095360a751-biomar-powered-by-partnership-driven-by-innovation.pdf,research/arkiv-sortert/Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/BioMar _ Powered by Partnership. Driven by Innovation_.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/BioMar _ Powered by Partnership. Driven by Innovation_.pdf
cmoh2g737001bn60d5o0c1h9h,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/ec96af6ae7-danish-insect-ag-firm-enorm-declared-bankrupt.pdf,research/arkiv-sortert/Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Danish insect ag firm ENORM declared bankrupt.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Danish insect ag firm ENORM declared bankrupt.pdf
cmoh2g73m001cn60d6hg9m33j,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/cf6f2af13e-dug-foodtech-declared-bankrupt-assets-now-open-for-acquisition-vegconomist-the-vegan-business-magazine.pdf,"research/arkiv-sortert/Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/DUG Foodtech Declared Bankrupt, Assets Now Open for Acquisition - vegconomist - the vegan business magazine.pdf",auto,1,"research/arkiv-sortert/Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/DUG Foodtech Declared Bankrupt, Assets Now Open for Acquisition - vegconomist - the vegan business magazine.pdf"
cmoh2g741001dn60dljb3n86b,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/e1477dd45a-enifer-ingredients-for-a-sustainable-food-chain.pdf,research/arkiv-sortert/Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Enifer - Ingredients for a sustainable food chain.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Enifer - Ingredients for a sustainable food chain.pdf
cmoh2g74g001en60djs7idnbn,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/73959f8202-enorm-larvae-for-green-development-of-the-agricultural-and-food-industry.pdf,research/arkiv-sortert/Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Enorm - larvae for green development of the agricultural and food industry.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Enorm - larvae for green development of the agricultural and food industry.pdf
cmoh2g74x001fn60d0po96wmy,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/23359212ae-five-reasons-why-vertical-farming-is-still-the-future-despite-all-the-recent-business-failures.pdf,"research/arkiv-sortert/Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Five reasons why vertical farming is still the future, despite all the recent business failures.pdf",auto,1,"research/arkiv-sortert/Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Five reasons why vertical farming is still the future, despite all the recent business failures.pdf"
cmoh2g75e001gn60doto4qnl8,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/4181e010b6-french-insect-protein-producer-ynsect-enters-judicial-liquidation-petfoodindustry.pdf,research/arkiv-sortert/Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/French insect protein producer Ÿnsect enters judicial liquidation _ PetfoodIndustry.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/French insect protein producer Ÿnsect enters judicial liquidation _ PetfoodIndustry.pdf
cmoh2g75x001hn60dcp5lf0ra,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/8fda4db5c8-hailia-enabling-the-blue-food-revolution.pdf,research/arkiv-sortert/Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Hailia - Enabling the Blue Food Revolution.pdf,auto,1,research/arkiv-sortert/Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Hailia - Enabling the Blue Food Revolution.pdf
