source,ref,entity_type,problem,severity,fix_group,priority,suggested_action
file-coverage,src-142,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""kfst-evaluering-foedevarehandelsloven-2024.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-143,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""etmv-toimintakertomus-2024.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-144,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""meld-st-25-2024-2025-sirkular.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-145,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""press-id3101561-2025.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-146,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""press-id3046671-2024.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-147,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""lokalmatrapport-2025.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-148,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""cheffelo-q4-2025.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-149,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""kbh-food-strategy-2019.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-150,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""motiva-responsible-food-procurement-2026.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-151,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""plantefonden-projects-2025.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-152,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""arla-farmahead-2024.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-153,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""forskningsrunde-2026-04-20-backlog.csv"" or update SourceDoc.filename to actual location"
file-coverage,src-154,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""mdpi-2071-1050-13-11-6231-turku-circular-food.pdf"" or update SourceDoc.filename to actual location"
file-coverage,src-155,SourceDoc,missing_file_sourcedoc,MEDIUM,E: missing SourceDoc,,"Restore file at ""nested-circularity-finland-2023.pdf"" or update SourceDoc.filename to actual location"
