Year,NACECode,Industry,Prob,BNPB,LOKO,DRI
1987,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",62027,10926,8797,1783
1987,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,52306,9108,7199,1889
1987,nr2312,¬¬ Bearbeiding og konservering av fisk mv,9721,1818,1598,-106
1987,nr23_6,Totalt for næringer,1084593,548564,318296,118847
1987,pub2X03,"Fiske, fangst og akvakultur",9476,5180,1211,3055
1988,A64NP2X01,"Jordbruk, jakt og viltstell",24948,11751,2343,7997
1988,A64NP2X03A,Fiske og fangst,5405,3224,387,1710
1988,A64NP2X03B,Akvakultur,5739,2098,1024,595
1988,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",64963,11548,9274,1629
1988,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,55695,9774,7696,1805
1988,nr2312,¬¬ Bearbeiding og konservering av fisk mv,9268,1774,1578,-176
1988,nr23_6,Totalt for næringer,1135569,578881,337887,118381
1988,pub2X03,"Fiske, fangst og akvakultur",11144,5322,1411,2305
1989,A64NP2X01,"Jordbruk, jakt og viltstell",26321,12829,2444,9351
1989,A64NP2X03A,Fiske og fangst,5183,3123,394,1347
1989,A64NP2X03B,Akvakultur,5823,1226,1086,-390
1989,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",68123,11964,9416,2225
1989,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,58789,10014,7860,2091
1989,nr2312,¬¬ Bearbeiding og konservering av fisk mv,9334,1950,1556,134
1989,nr23_6,Totalt for næringer,1196609,624949,342352,154919
1989,pub2X03,"Fiske, fangst og akvakultur",11006,4349,1480,957
1990,A64NP2X01,"Jordbruk, jakt og viltstell",28032,14234,2469,10949
1990,A64NP2X03A,Fiske og fangst,5406,3199,390,1798
1990,A64NP2X03B,Akvakultur,5006,1218,1027,-320
1990,A64NP2X10_12,"Nærings-, drikkevare- og tobakksindustri",70440,11924,9696,1978
1990,nr2310,¬¬ Næringsmidler u/fiskeforedling  inkl. drikkevarer og tobakk,60830,9857,8108,1748
1990,nr2312,¬¬ Bearbeiding og konservering av fisk mv,9610,2067,1588,230
1990,nr23_6,Totalt for næringer,1264171,663620,355222,181491
1990,pub2X03,"Fiske, fangst og akvakultur",10412,4417,1417,1478
1991,A64NP2X01,"Jordbruk, jakt og viltstell",27436,13239,2417,11125
