"næring (SN2007)","materialtype","år","statistikkvariabel","14457: Industriavfall. Generert mengde avfall (1 000 tonn),"
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Andre materialer","2022","Avfallsmengde",8
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Blandet avfall","2015","Avfallsmengde",11
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Blandet avfall","2022","Avfallsmengde",14
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Lett forurensede masser","2015","Avfallsmengde",2
"Produksjon av kjemiske, farmasøytiske, gummi- og plastprodukter","Lett forurensede masser","2022","Avfallsmengde",2
"Mineralproduktindustri","I alt, uten lett forurensede masser","2015","Avfallsmengde",104
"Mineralproduktindustri","I alt, uten lett forurensede masser","2022","Avfallsmengde",279
"Mineralproduktindustri","Våtorganisk avfall","2015","Avfallsmengde",0
"Mineralproduktindustri","Våtorganisk avfall","2022","Avfallsmengde",0
"Mineralproduktindustri","Park- og hageavfall","2015","Avfallsmengde",0
"Mineralproduktindustri","Park- og hageavfall","2022","Avfallsmengde",0
"Mineralproduktindustri","Treavfall","2015","Avfallsmengde",5
"Mineralproduktindustri","Treavfall","2022","Avfallsmengde",28
"Mineralproduktindustri","Organisk slam, tørrstoff","2015","Avfallsmengde",0
"Mineralproduktindustri","Organisk slam, tørrstoff","2022","Avfallsmengde",0
"Mineralproduktindustri","Papir, papp og kartong","2015","Avfallsmengde",1
"Mineralproduktindustri","Papir, papp og kartong","2022","Avfallsmengde",2
"Mineralproduktindustri","Glass","2015","Avfallsmengde",7
"Mineralproduktindustri","Glass","2022","Avfallsmengde",13
"Mineralproduktindustri","Metall","2015","Avfallsmengde",5
"Mineralproduktindustri","Metall","2022","Avfallsmengde",26
"Mineralproduktindustri","EE-avfall","2015","Avfallsmengde",0
"Mineralproduktindustri","EE-avfall","2022","Avfallsmengde",1
"Mineralproduktindustri","Plast","2015","Avfallsmengde",1
"Mineralproduktindustri","Plast","2022","Avfallsmengde",3
"Mineralproduktindustri","Gummi","2015","Avfallsmengde",0
"Mineralproduktindustri","Gummi","2022","Avfallsmengde",0
"Mineralproduktindustri","Tekstiler","2015","Avfallsmengde",0
"Mineralproduktindustri","Tekstiler","2022","Avfallsmengde",0
"Mineralproduktindustri","Betong og tegl","2015","Avfallsmengde",37
"Mineralproduktindustri","Betong og tegl","2022","Avfallsmengde",100
"Mineralproduktindustri","Slagg, støv, bunnaske, flygeaske","2015","Avfallsmengde",13
"Mineralproduktindustri","Slagg, støv, bunnaske, flygeaske","2022","Avfallsmengde",1
"Mineralproduktindustri","Uorganisk slam, tørrstoff","2015","Avfallsmengde",6
"Mineralproduktindustri","Uorganisk slam, tørrstoff","2022","Avfallsmengde",27
"Mineralproduktindustri","Andre materialer","2015","Avfallsmengde",16
"Mineralproduktindustri","Andre materialer","2022","Avfallsmengde",27
"Mineralproduktindustri","Blandet avfall","2015","Avfallsmengde",11
"Mineralproduktindustri","Blandet avfall","2022","Avfallsmengde",51
"Mineralproduktindustri","Lett forurensede masser","2015","Avfallsmengde",0
"Mineralproduktindustri","Lett forurensede masser","2022","Avfallsmengde",1
"Metall og metallvareindustri","I alt, uten lett forurensede masser","2015","Avfallsmengde",109
"Metall og metallvareindustri","I alt, uten lett forurensede masser","2022","Avfallsmengde",165
"Metall og metallvareindustri","Våtorganisk avfall","2015","Avfallsmengde",0
"Metall og metallvareindustri","Våtorganisk avfall","2022","Avfallsmengde",0
"Metall og metallvareindustri","Park- og hageavfall","2015","Avfallsmengde",0
"Metall og metallvareindustri","Park- og hageavfall","2022","Avfallsmengde",2
"Metall og metallvareindustri","Treavfall","2015","Avfallsmengde",6
"Metall og metallvareindustri","Treavfall","2022","Avfallsmengde",9
"Metall og metallvareindustri","Organisk slam, tørrstoff","2015","Avfallsmengde",1
"Metall og metallvareindustri","Organisk slam, tørrstoff","2022","Avfallsmengde",1
"Metall og metallvareindustri","Papir, papp og kartong","2015","Avfallsmengde",2
"Metall og metallvareindustri","Papir, papp og kartong","2022","Avfallsmengde",3
"Metall og metallvareindustri","Glass","2015","Avfallsmengde",1
"Metall og metallvareindustri","Glass","2022","Avfallsmengde",1
"Metall og metallvareindustri","Metall","2015","Avfallsmengde",42
"Metall og metallvareindustri","Metall","2022","Avfallsmengde",83
"Metall og metallvareindustri","EE-avfall","2015","Avfallsmengde",0
"Metall og metallvareindustri","EE-avfall","2022","Avfallsmengde",1
"Metall og metallvareindustri","Plast","2015","Avfallsmengde",1
"Metall og metallvareindustri","Plast","2022","Avfallsmengde",1
"Metall og metallvareindustri","Gummi","2015","Avfallsmengde",0
"Metall og metallvareindustri","Gummi","2022","Avfallsmengde",0
"Metall og metallvareindustri","Tekstiler","2015","Avfallsmengde",0
"Metall og metallvareindustri","Tekstiler","2022","Avfallsmengde",0
"Metall og metallvareindustri","Betong og tegl","2015","Avfallsmengde",1
"Metall og metallvareindustri","Betong og tegl","2022","Avfallsmengde",6
"Metall og metallvareindustri","Slagg, støv, bunnaske, flygeaske","2015","Avfallsmengde",7
"Metall og metallvareindustri","Slagg, støv, bunnaske, flygeaske","2022","Avfallsmengde",9
"Metall og metallvareindustri","Uorganisk slam, tørrstoff","2015","Avfallsmengde",6
"Metall og metallvareindustri","Uorganisk slam, tørrstoff","2022","Avfallsmengde",1
"Metall og metallvareindustri","Andre materialer","2015","Avfallsmengde",24
"Metall og metallvareindustri","Andre materialer","2022","Avfallsmengde",32
"Metall og metallvareindustri","Blandet avfall","2015","Avfallsmengde",18
"Metall og metallvareindustri","Blandet avfall","2022","Avfallsmengde",19
"Metall og metallvareindustri","Lett forurensede masser","2015","Avfallsmengde",9
"Metall og metallvareindustri","Lett forurensede masser","2022","Avfallsmengde",4
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","I alt, uten lett forurensede masser","2015","Avfallsmengde",154
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","I alt, uten lett forurensede masser","2022","Avfallsmengde",105
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Våtorganisk avfall","2015","Avfallsmengde",1
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Våtorganisk avfall","2022","Avfallsmengde",0
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Park- og hageavfall","2015","Avfallsmengde",0
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Park- og hageavfall","2022","Avfallsmengde",0
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Treavfall","2015","Avfallsmengde",10
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Treavfall","2022","Avfallsmengde",12
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Organisk slam, tørrstoff","2015","Avfallsmengde",0
"Produksjon av datamaskiner, elektroniske og optiske produkter, elektrisk utstyr, motorkjøretøyer og annet transportutstyr","Organisk slam, tørrstoff","2022","Avfallsmengde",0
