Year,SpeciesCode,Species,Count
2022,04,Vinterfora sauer,928234
2022,07,Andre storfe,574181
2022,08,Alssvin i alt,72248
2022,10,Verpehøner,4135095
2022,13a,Kyr i alt,319590
2022,15,Mjølkegeiter,35472
2023,01,Storfe,881320
2023,02,Mjølkekyr,202876
2023,03,Ammekyr,108424
2023,04,Vinterfora sauer,909914
2023,07,Andre storfe,570020
2023,08,Alssvin i alt,70847
2023,10,Verpehøner,4088541
2023,13a,Kyr i alt,311300
2023,15,Mjølkegeiter,34474
2024,01,Storfe,851697
2024,02,Mjølkekyr,202771
2024,03,Ammekyr,106337
2024,04,Vinterfora sauer,889615
2024,07,Andre storfe,542589
2024,08,Alssvin i alt,68209
2024,10,Verpehøner,4082751
2024,13a,Kyr i alt,309108
2024,15,Mjølkegeiter,33938
2025,01,Storfe,844004
2025,02,Mjølkekyr,208064
2025,03,Ammekyr,105109
2025,04,Vinterfora sauer,885908
2025,07,Andre storfe,530831
2025,08,Alssvin i alt,64332
2025,10,Verpehøner,4316664
2025,13a,Kyr i alt,313173
2025,15,Mjølkegeiter,32646
