"behandlingsmåte","materialtype","år","statistikkvariabel","10513: Avfallsregnskap for Norge (1 000 tonn),"
"Avfallsbehandling i alt","Tekstiler","2022","Avfallsmengde",3
"Avfallsbehandling i alt","Tekstiler","2023","Avfallsmengde",3
"Avfallsbehandling i alt","Tekstiler","2024","Avfallsmengde",4
"Avfallsbehandling i alt","Kasserte kjøretøy","2012","Avfallsmengde",196
"Avfallsbehandling i alt","Kasserte kjøretøy","2013","Avfallsmengde",233
"Avfallsbehandling i alt","Kasserte kjøretøy","2014","Avfallsmengde",228
"Avfallsbehandling i alt","Kasserte kjøretøy","2015","Avfallsmengde",213
"Avfallsbehandling i alt","Kasserte kjøretøy","2016","Avfallsmengde",216
"Avfallsbehandling i alt","Kasserte kjøretøy","2017","Avfallsmengde",228
"Avfallsbehandling i alt","Kasserte kjøretøy","2018","Avfallsmengde",231
"Avfallsbehandling i alt","Kasserte kjøretøy","2019","Avfallsmengde",236
"Avfallsbehandling i alt","Kasserte kjøretøy","2020","Avfallsmengde",212
"Avfallsbehandling i alt","Kasserte kjøretøy","2021","Avfallsmengde",251
"Avfallsbehandling i alt","Kasserte kjøretøy","2022","Avfallsmengde",201
"Avfallsbehandling i alt","Kasserte kjøretøy","2023","Avfallsmengde",193
"Avfallsbehandling i alt","Kasserte kjøretøy","2024","Avfallsmengde",148
"Avfallsbehandling i alt","Radioaktivt avfall","2012","Avfallsmengde",0
"Avfallsbehandling i alt","Radioaktivt avfall","2013","Avfallsmengde",0
"Avfallsbehandling i alt","Radioaktivt avfall","2014","Avfallsmengde",0
"Avfallsbehandling i alt","Radioaktivt avfall","2015","Avfallsmengde",0
"Avfallsbehandling i alt","Radioaktivt avfall","2016","Avfallsmengde",0
"Avfallsbehandling i alt","Radioaktivt avfall","2017","Avfallsmengde",0
"Avfallsbehandling i alt","Radioaktivt avfall","2018","Avfallsmengde",0
"Avfallsbehandling i alt","Radioaktivt avfall","2019","Avfallsmengde",0
"Avfallsbehandling i alt","Radioaktivt avfall","2020","Avfallsmengde",0
"Avfallsbehandling i alt","Radioaktivt avfall","2021","Avfallsmengde",0
"Avfallsbehandling i alt","Radioaktivt avfall","2022","Avfallsmengde",0
"Avfallsbehandling i alt","Radioaktivt avfall","2023","Avfallsmengde",0
"Avfallsbehandling i alt","Radioaktivt avfall","2024","Avfallsmengde",0
"Avfallsbehandling i alt","Farlig avfall","2012","Avfallsmengde",1207
"Avfallsbehandling i alt","Farlig avfall","2013","Avfallsmengde",1248
"Avfallsbehandling i alt","Farlig avfall","2014","Avfallsmengde",1359
"Avfallsbehandling i alt","Farlig avfall","2015","Avfallsmengde",1422
"Avfallsbehandling i alt","Farlig avfall","2016","Avfallsmengde",1482
"Avfallsbehandling i alt","Farlig avfall","2017","Avfallsmengde",1654
"Avfallsbehandling i alt","Farlig avfall","2018","Avfallsmengde",1549
"Avfallsbehandling i alt","Farlig avfall","2019","Avfallsmengde",1615
"Avfallsbehandling i alt","Farlig avfall","2020","Avfallsmengde",1748
"Avfallsbehandling i alt","Farlig avfall","2021","Avfallsmengde",1828
"Avfallsbehandling i alt","Farlig avfall","2022","Avfallsmengde",1876
"Avfallsbehandling i alt","Farlig avfall","2023","Avfallsmengde",1680
"Avfallsbehandling i alt","Farlig avfall","2024","Avfallsmengde",1696
"Avfallsbehandling i alt","Blandet avfall","2012","Avfallsmengde",2743
"Avfallsbehandling i alt","Blandet avfall","2013","Avfallsmengde",2735
"Avfallsbehandling i alt","Blandet avfall","2014","Avfallsmengde",2807
"Avfallsbehandling i alt","Blandet avfall","2015","Avfallsmengde",2739
"Avfallsbehandling i alt","Blandet avfall","2016","Avfallsmengde",2958
"Avfallsbehandling i alt","Blandet avfall","2017","Avfallsmengde",2878
"Avfallsbehandling i alt","Blandet avfall","2018","Avfallsmengde",2762
"Avfallsbehandling i alt","Blandet avfall","2019","Avfallsmengde",2717
"Avfallsbehandling i alt","Blandet avfall","2020","Avfallsmengde",2418
"Avfallsbehandling i alt","Blandet avfall","2021","Avfallsmengde",2525
"Avfallsbehandling i alt","Blandet avfall","2022","Avfallsmengde",2742
"Avfallsbehandling i alt","Blandet avfall","2023","Avfallsmengde",2711
"Avfallsbehandling i alt","Blandet avfall","2024","Avfallsmengde",2555
"Avfallsbehandling i alt","Andre materialer","2012","Avfallsmengde",1082
"Avfallsbehandling i alt","Andre materialer","2013","Avfallsmengde",991
"Avfallsbehandling i alt","Andre materialer","2014","Avfallsmengde",1135
"Avfallsbehandling i alt","Andre materialer","2015","Avfallsmengde",1295
"Avfallsbehandling i alt","Andre materialer","2016","Avfallsmengde",1487
"Avfallsbehandling i alt","Andre materialer","2017","Avfallsmengde",1489
"Avfallsbehandling i alt","Andre materialer","2018","Avfallsmengde",1427
"Avfallsbehandling i alt","Andre materialer","2019","Avfallsmengde",1580
"Avfallsbehandling i alt","Andre materialer","2020","Avfallsmengde",1579
"Avfallsbehandling i alt","Andre materialer","2021","Avfallsmengde",1543
"Avfallsbehandling i alt","Andre materialer","2022","Avfallsmengde",1549
"Avfallsbehandling i alt","Andre materialer","2023","Avfallsmengde",1402
"Avfallsbehandling i alt","Andre materialer","2024","Avfallsmengde",1479
