Year,CropCode,CropType,AreaDekar
2018,09a,Oljevekstar til mogning,32758
2018,10,Potet,116138
2018,11a,Grønfôr- og silovekstar,110507
2018,12,Grønsaker på friland,84179
2018,12a,Jordbær,14161
2018,13a,Andre vekstar på åker og i hage,112701
2018,13b,Brakk,5414
2018,14,Eng til slått og beite,6587111
2018,15,Fulldyrka eng,4787136
2018,16,Anna eng og beite,1799975
2018,17,Overflatedyrka eng,199714
2018,18,Innmarksbeite,1600261
2019,01,Jordbruksareal i drift,9842540
2019,02,Fulldyrka jord,8051462
2019,03,Åker og hage,3226633
2019,04a,Korn og oljevekstar til mogning,2789822
2019,05,Kveite,803508
2019,06a,Rugkveite,93125
2019,07,Bygg,1304954
2019,08,Havre,550981
2019,09a,Oljevekstar til mogning,34284
2019,10,Potet,116858
2019,11a,Grønfôr- og silovekstar,108558
2019,12,Grønsaker på friland,83657
2019,12a,Jordbær,13337
2019,13a,Andre vekstar på åker og i hage,107828
2019,13b,Brakk,6573
2019,14,Eng til slått og beite,6615904
2019,15,Fulldyrka eng,4824829
2019,16,Anna eng og beite,1791075
2019,17,Overflatedyrka eng,200423
2019,18,Innmarksbeite,1590652
2020,01,Jordbruksareal i drift,9859618
2020,02,Fulldyrka jord,8076626
2020,03,Åker og hage,3270927
2020,04a,Korn og oljevekstar til mogning,2831971
2020,05,Kveite,676697
2020,06,Rug,0
2020,06a,Rugkveite,65250
2020,07,Bygg,1392224
2020,08,Havre,665480
2020,08a,Blandkorn og erter til mogning,0
2020,09a,Oljevekstar til mogning,29732
2020,10,Potet,115064
2020,11,"Rotvekster til fôr, grønfôr og silovekstar",0
2020,11a,Grønfôr- og silovekstar,95106
2020,12,Grønsaker på friland,82453
2020,12a,Jordbær,12389
2020,13a,Andre vekstar på åker og i hage,128732
2020,13b,Brakk,5212
2020,14,Eng til slått og beite,6588688
2020,15,Fulldyrka eng,4805699
2020,16,Anna eng og beite,1782989
2020,17,Overflatedyrka eng,206124
2020,18,Innmarksbeite,1576865
2021,01,Jordbruksareal i drift,9845167
2021,02,Fulldyrka jord,8069912
2021,03,Åker og hage,3294951
2021,04a,Korn og oljevekstar til mogning,2859251
2021,05,Kveite,635927
2021,06,Rug,0
2021,06a,Rugkveite,83121
2021,07,Bygg,1427448
2021,08,Havre,685183
2021,08a,Blandkorn og erter til mogning,0
2021,09a,Oljevekstar til mogning,24212
2021,10,Potet,116160
2021,11,"Rotvekster til fôr, grønfôr og silovekstar",0
2021,11a,Grønfôr- og silovekstar,94257
2021,12,Grønsaker på friland,82994
2021,12a,Jordbær,11101
2021,13a,Andre vekstar på åker og i hage,122898
2021,13b,Brakk,6485
2021,14,Eng til slått og beite,6550216
2021,15,Fulldyrka eng,4776766
2021,16,Anna eng og beite,1773450
2021,17,Overflatedyrka eng,208684
2021,18,Innmarksbeite,1564766
2022,01,Jordbruksareal i drift,9846497
2022,02,Fulldyrka jord,8074176
2022,03,Åker og hage,3301218
2022,04a,Korn og oljevekstar til mogning,2839038
2022,05,Kveite,753547
2022,06,Rug,0
2022,06a,Rugkveite,106411
2022,07,Bygg,1313202
2022,08,Havre,632012
2022,08a,Blandkorn og erter til mogning,0
2022,09a,Oljevekstar til mogning,30277
2022,10,Potet,118977
2022,11,"Rotvekster til fôr, grønfôr og silovekstar",0
2022,11a,Grønfôr- og silovekstar,90078
2022,12,Grønsaker på friland,84334
2022,12a,Jordbær,9405
2022,13a,Andre vekstar på åker og i hage,150411
2022,13b,Brakk,7230
2022,14,Eng til slått og beite,6545279
2022,15,Fulldyrka eng,4774703
2022,16,Anna eng og beite,1770576
2022,17,Overflatedyrka eng,210347
2022,18,Innmarksbeite,1560229
2023,01,Jordbruksareal i drift,9843834
2023,02,Fulldyrka jord,8077267
2023,03,Åker og hage,3302593
2023,04a,Korn og oljevekstar til mogning,2859482
2023,05,Kveite,645788
2023,06,Rug,0
2023,06a,Rugkveite,87733
2023,07,Bygg,1419733
2023,08,Havre,684277
2023,08a,Blandkorn og erter til mogning,0
2023,09a,Oljevekstar til mogning,19294
2023,10,Potet,115048
2023,11,"Rotvekster til fôr, grønfôr og silovekstar",0
2023,11a,Grønfôr- og silovekstar,81985
2023,12,Grønsaker på friland,81157
2023,12a,Jordbær,8914
2023,13a,Andre vekstar på åker og i hage,148831
2023,13b,Brakk,7176
2023,14,Eng til slått og beite,6541241
2023,15,Fulldyrka eng,4774674
2023,16,Anna eng og beite,1766567
2023,17,Overflatedyrka eng,212264
2023,18,Innmarksbeite,1554303
2024,01,Jordbruksareal i drift,9841363
2024,02,Fulldyrka jord,8084817
2024,03,Åker og hage,3298762
2024,04a,Korn og oljevekstar til mogning,2820928
2024,05,Kveite,592140
2024,06,Rug,0
2024,06a,Rugkveite,57296
2024,07,Bygg,1455229
2024,08,Havre,695544
2024,08a,Blandkorn og erter til mogning,0
2024,09a,Oljevekstar til mogning,18479
2024,10,Potet,118675
2024,11,"Rotvekster til fôr, grønfôr og silovekstar",0
2024,11a,Grønfôr- og silovekstar,90268
2024,12,Grønsaker på friland,90610
2024,12a,Jordbær,8607
2024,13a,Andre vekstar på åker og i hage,162130
2024,13b,Brakk,7556
2024,14,Eng til slått og beite,6542601
2024,15,Fulldyrka eng,4786055
2024,16,Anna eng og beite,1756546
2024,17,Overflatedyrka eng,213057
2024,18,Innmarksbeite,1543489
2025,01,Jordbruksareal i drift,9866661
2025,02,Fulldyrka jord,8106656
2025,03,Åker og hage,3317741
2025,04a,Korn og oljevekstar til mogning,2842275
2025,05,Kveite,602882
2025,06a,Rugkveite,35821
2025,07,Bygg,1572039
2025,08,Havre,602719
2025,09a,Oljevekstar til mogning,27137
2025,10,Potet,123099
2025,11a,Grønfôr- og silovekstar,85859
2025,12,Grønsaker på friland,92287
2025,12a,Jordbær,8288
2025,13a,Andre vekstar på åker og i hage,158855
2025,13b,Brakk,7081
2025,14,Eng til slått og beite,6548920
2025,15,Fulldyrka eng,4788915
2025,16,Anna eng og beite,1760005
2025,17,Overflatedyrka eng,217457
2025,18,Innmarksbeite,1542548
