country,year,commodity_group,commodity_group_label,flow,metric,unit,total_import_value,nordic_core_import_value,nordic_core_share,nordic_extended_import_value,nordic_extended_share,nordic_core_partner_codes,nordic_extended_partner_codes,source_name,dataset_or_table_id,source_raw_file,status,notes
IS,2022,dairy_eggs,Dairy products and eggs,imports,Import cif value,Statistics Iceland source units,1969.9,420.4,0.213412,420.4,0.213412,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2022,fats_oils,Fats and oils,imports,Import cif value,Statistics Iceland source units,6871.7,948.8,0.138074,1003.4,0.146019,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2022,fish_seafood,Fish and seafood,imports,Import cif value,Statistics Iceland source units,15611.6,4825.5,0.309097,7588.7,0.486094,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2022,fruit_veg,Fruit and vegetables,imports,Import cif value,Statistics Iceland source units,20839.6,1133.8,0.054406,1133.8,0.054406,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2022,meat,Meat and meat preparations,imports,Import cif value,Statistics Iceland source units,5711.1,1408.9,0.246695,1408.9,0.246695,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2022,selected_food_basket,Selected food basket,imports,Import cif value,Statistics Iceland source units,67409.2,12489.5,0.185279,15307.3,0.22708,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2023,cereals,Cereals and cereal preparations,imports,Import cif value,Statistics Iceland source units,18192.9,3968.3,0.218124,3968.3,0.218124,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2023,dairy_eggs,Dairy products and eggs,imports,Import cif value,Statistics Iceland source units,2374.4,491.4,0.206958,491.4,0.206958,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2023,fats_oils,Fats and oils,imports,Import cif value,Statistics Iceland source units,11205.8,776,0.06925,864.2,0.077121,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
IS,2023,fish_seafood,Fish and seafood,imports,Import cif value,Statistics Iceland source units,14073.9,4164.2,0.295881,6834.2,0.485594,DK;FI;NO;SE,AX;DK;FI;FO;GL;NO;SE,Statistics Iceland imports by SITC and countries,UTA06201.px,research/data/nordic/trade-groups/raw-json/is-food-group-imports-monthly.json,partial_is_only_from_existing_raw,Derived from existing Iceland raw JSON-stat response with partner-country dimension; use as partial evidence until all-country partner pulls are built.
