theme,series_family,series_id,country,source_name,dataset_or_table_id,period,frequency,flow,metric,unit,value,coverage,comparability,notes
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2021-02,monthly,imports,Trade value,source units,59644.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2021-03,monthly,imports,Trade value,source units,73639.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2021-04,monthly,imports,Trade value,source units,66791.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2021-05,monthly,imports,Trade value,source units,72497.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2021-06,monthly,imports,Trade value,source units,74249.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2021-07,monthly,imports,Trade value,source units,64896.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2021-08,monthly,imports,Trade value,source units,74184.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2021-09,monthly,imports,Trade value,source units,77012.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2021-10,monthly,imports,Trade value,source units,72973.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2021-11,monthly,imports,Trade value,source units,81488.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2021-12,monthly,imports,Trade value,source units,79609.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2022-01,monthly,imports,Trade value,source units,69675.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2022-02,monthly,imports,Trade value,source units,76128.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2022-03,monthly,imports,Trade value,source units,89903.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2022-04,monthly,imports,Trade value,source units,72517.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2022-05,monthly,imports,Trade value,source units,88956.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2022-06,monthly,imports,Trade value,source units,88940.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2022-07,monthly,imports,Trade value,source units,75387.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2022-08,monthly,imports,Trade value,source units,90027.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2022-09,monthly,imports,Trade value,source units,95862.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2022-10,monthly,imports,Trade value,source units,93817.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2022-11,monthly,imports,Trade value,source units,96856.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2022-12,monthly,imports,Trade value,source units,92836.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2023-01,monthly,imports,Trade value,source units,77667.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2023-02,monthly,imports,Trade value,source units,88334.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
trade,total_goods_trade_monthly,no_total_goods_imports,NO,SSB external trade main figures monthly,08792,2023-03,monthly,imports,Trade value,source units,103454.000,all goods,monthly total-goods trade,Direct total imports/exports from SSB table 08792.
