theme,series_family,series_id,country,source_name,dataset_or_table_id,period,frequency,flow,metric,unit,value,coverage,comparability,notes
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2019-01,monthly,,HICP food and non-alcoholic beverages,index (2015=100),104.100,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2019-02,monthly,,HICP food and non-alcoholic beverages,index (2015=100),104.500,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2019-03,monthly,,HICP food and non-alcoholic beverages,index (2015=100),104.100,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2019-04,monthly,,HICP food and non-alcoholic beverages,index (2015=100),103.500,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2019-05,monthly,,HICP food and non-alcoholic beverages,index (2015=100),104.200,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2019-06,monthly,,HICP food and non-alcoholic beverages,index (2015=100),105.000,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2019-07,monthly,,HICP food and non-alcoholic beverages,index (2015=100),105.900,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2019-08,monthly,,HICP food and non-alcoholic beverages,index (2015=100),104.800,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2019-09,monthly,,HICP food and non-alcoholic beverages,index (2015=100),104.400,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2019-10,monthly,,HICP food and non-alcoholic beverages,index (2015=100),104.200,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2019-11,monthly,,HICP food and non-alcoholic beverages,index (2015=100),104.400,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
prices,food_hicp_monthly,hicp_food_dk,DK,Eurostat HICP monthly,prc_hicp_midx,2019-12,monthly,,HICP food and non-alcoholic beverages,index (2015=100),103.600,food and non-alcoholic beverages,cross-country comparable panel,"Eurostat COICOP CP01, used as the first comparable Nordic food-price backbone."
