"record_id","hs_code","ssb_varekoder","product_label_no","export_tonnes_2024","export_value_1000_nok","product_scope","energy_mapping_status","g3_action","notes"
"G3-NO-HS-PRODUCT-089-2024","03055129","03055129_2012","Klippfisk av torsk, unnt av atlanterhavstorsk og spiselige biprodukter (2012-) (M1=kg,  M2=nei)","1061.001","132388","processed_preserved_fish","needs_energy_mapping","map processed-product energy and rehydration/yield","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-090-2024","03044430","03044430_2012","Fileter av sei, fersk el kjølt (2012-) (M1=kg,  M2=nei)","1056.061","73838","fillet_or_fish_meat","needs_energy_mapping","map product form and species to Matvaretabellen","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-091-2024","03039903","03039903_2020","Spiselige biprodukter av blåkveite (Reinhardtius hippoglossoides), fryst, unntatt lever, rogn og melke (2020-) (M1=kg,  M2=nei)","1055.060","64841","edible_byproduct_or_roe","needs_energy_mapping","review edible yield and energy factor","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-092-2024","03061408","03061408_2015","Krabber, unnt kongekrabber og snøkrabber, fryste (2015-) (M1=kg,  M2=nei)","1050.016","89938","whole_or_gutted_fish_shellfish","needs_yield_mapping","map species and edible share","SSB table 08801 export all countries summed across Land for 2024; threshold >=1000 tonnes"
"G3-NO-HS-PRODUCT-TOTAL-SELECTED-2024","selected_prefixes","HS03+1504+1604+1605+230120","Selected seafood-related HS families total","2589296.000","NA","selected_hs_total","not_energy_result","use as product-mix coverage benchmark","Total across all nonzero selected HS rows from SSB 08801; includes non-food fishmeal/fish oil and should not be treated as edible energy"
"G3-NO-HS-SCOPE-WHOLE-OR-GUTTED-FISH-SHELLFISH-2024","scope_total","HS03+1504+1604+1605+230120","whole_or_gutted_fish_shellfish subtotal","1862431.964","NA","whole_or_gutted_fish_shellfish","not_energy_result","scope subtotal for G3 review","Derived from heuristic classification; review before final use"
"G3-NO-HS-SCOPE-FILLET-OR-FISH-MEAT-2024","scope_total","HS03+1504+1604+1605+230120","fillet_or_fish_meat subtotal","343155.770","NA","fillet_or_fish_meat","not_energy_result","scope subtotal for G3 review","Derived from heuristic classification; review before final use"
"G3-NO-HS-SCOPE-FISH-OIL-2024","scope_total","HS03+1504+1604+1605+230120","fish_oil subtotal","105185.395","NA","fish_oil","not_energy_result","scope subtotal for G3 review","Derived from heuristic classification; review before final use"
"G3-NO-HS-SCOPE-PROCESSED-PRESERVED-FISH-2024","scope_total","HS03+1504+1604+1605+230120","processed_preserved_fish subtotal","102763.078","NA","processed_preserved_fish","not_energy_result","scope subtotal for G3 review","Derived from heuristic classification; review before final use"
"G3-NO-HS-SCOPE-NON-FOOD-FEED-OR-INDUSTRIAL-2024","scope_total","HS03+1504+1604+1605+230120","non_food_feed_or_industrial subtotal","99633.442","NA","non_food_feed_or_industrial","not_energy_result","scope subtotal for G3 review","Derived from heuristic classification; review before final use"
"G3-NO-HS-SCOPE-EDIBLE-BYPRODUCT-OR-ROE-2024","scope_total","HS03+1504+1604+1605+230120","edible_byproduct_or_roe subtotal","57220.444","NA","edible_byproduct_or_roe","not_energy_result","scope subtotal for G3 review","Derived from heuristic classification; review before final use"
"G3-NO-HS-SCOPE-PREPARED-SEAFOOD-2024","scope_total","HS03+1504+1604+1605+230120","prepared_seafood subtotal","16924.890","NA","prepared_seafood","not_energy_result","scope subtotal for G3 review","Derived from heuristic classification; review before final use"
"G3-NO-HS-SCOPE-NEEDS-MANUAL-REVIEW-2024","scope_total","HS03+1504+1604+1605+230120","needs_manual_review subtotal","1981.017","NA","needs_manual_review","not_energy_result","scope subtotal for G3 review","Derived from heuristic classification; review before final use"
