country_code,country_name,municipality_code,municipality_name,population,area_km2,method,total_stores,parent_hhi_store_count_proxy,top_parent,top_parent_store_share_pct,stores_per_10000_population,unknown_parent_store_count,parent_counts,assigned_country_store_points,unassigned_country_store_points,data_quality
se,Sverige,1861,Hallsberg,8250,4463,store_count_proxy,7,2653,ICA Gruppen,28.6,8.5,2,ICA Gruppen:2|Unknown:2|Coop Sverige:2|Lidl:1,5049,0,ok
se,Sverige,1862,Degerfors,12640,3085,store_count_proxy,3,5556,ICA Gruppen,66.7,2.4,1,ICA Gruppen:2|Unknown:1,5049,0,ok
se,Sverige,1863,Hällefors,5630,3295,store_count_proxy,7,4286,Unknown,57.1,12.4,4,Unknown:4|ICA Gruppen:2|Axfood:1,5049,0,ok
se,Sverige,1864,Ljusnarsberg,8690,2785,store_count_proxy,1,10000,ICA Gruppen,100,1.2,0,ICA Gruppen:1,5049,0,ok
se,Sverige,1880,Örebro,63479,4259,store_count_proxy,53,2795,Unknown,41.5,8.3,22,Unknown:22|ICA Gruppen:13|Axfood:8|Coop Sverige:8|Lidl:2,5049,0,ok
se,Sverige,1881,Kumla,14450,1846,store_count_proxy,8,3438,Unknown,50,5.5,4,Unknown:4|ICA Gruppen:2|Lidl:1|Axfood:1,5049,0,ok
se,Sverige,1882,Askersund,8820,2361,store_count_proxy,8,2813,ICA Gruppen,37.5,9.1,2,ICA Gruppen:3|Unknown:2|Coop Sverige:2|Axfood:1,5049,0,ok
se,Sverige,1883,Karlskoga,15220,3268,store_count_proxy,10,2600,Coop Sverige,40,6.6,1,Coop Sverige:4|Lidl:2|ICA Gruppen:2|Axfood:1|Unknown:1,5049,0,ok
se,Sverige,1884,Nora,7320,4338,store_count_proxy,11,4545,Unknown,63.6,15,7,Unknown:7|ICA Gruppen:2|Axfood:1|Coop Sverige:1,5049,0,ok
se,Sverige,1885,Lindesberg,7520,6427,store_count_proxy,16,3203,Unknown,43.8,21.3,7,Unknown:7|Axfood:4|ICA Gruppen:4|Lidl:1,5049,0,ok
se,Sverige,1904,Skinnskatteberg,7280,4351,store_count_proxy,5,4400,Axfood,60,6.9,0,Axfood:3|Coop Sverige:1|ICA Gruppen:1,5049,0,ok
se,Sverige,1907,Surahammar,18460,3599,store_count_proxy,7,2653,Coop Sverige,28.6,3.8,2,Coop Sverige:2|Unknown:2|Axfood:2|ICA Gruppen:1,5049,0,ok
se,Sverige,1960,Kungsör,7040,2821,store_count_proxy,4,3750,Unknown,50,5.7,2,Unknown:2|Coop Sverige:1|ICA Gruppen:1,5049,0,ok
se,Sverige,1961,Hallstahammar,5500,8012,store_count_proxy,5,2800,Unknown,40,9.1,2,Unknown:2|Axfood:1|Lidl:1|ICA Gruppen:1,5049,0,ok
se,Sverige,1962,Norberg,20660,7848,store_count_proxy,4,3750,Unknown,50,1.9,2,Unknown:2|ICA Gruppen:1|Coop Sverige:1,5049,0,ok
se,Sverige,1980,Västerås,8560,3447,store_count_proxy,49,2428,Unknown,32.7,57.2,16,Unknown:16|ICA Gruppen:15|Coop Sverige:7|Axfood:6|Lidl:4|Bergendahls:1,5049,0,ok
se,Sverige,1981,Sala,6270,4359,store_count_proxy,8,2813,Unknown,37.5,12.8,3,Unknown:3|Axfood:2|ICA Gruppen:2|Coop Sverige:1,5049,0,ok
