fartoy_id;antall_sedler;antall_linjer;rundvekt_kg;fangstverdi_kr;siste_landingsdato;topp3_arter_rundvekt
1975012249;31;283;75671.6;3924672.0;2025-12-20;Nordøstarktisk torsk (60 934 kg) | Blåkveite (11 188 kg) | Kveite (1 638 kg)
1975012814;70;924;114313.0;5121565.0;2025-11-26;Dypvannsreke (84 974 kg) | Sei (13 963 kg) | Torsk (6 383 kg)
1976002207;33;193;27890.6;907583.0;2025-12-19;Nordøstarktisk torsk (23 613 kg) | Kveite (3 695 kg) | Breiflabb (249 kg)
1976002588;22;56;10086.4;1128997.0;2025-11-05;Nordøstarktisk torsk (7 385 kg) | Kongekrabbe  hann- (1 450 kg) | Kveite (599 kg)
1976003087;26;175;12044.1;1008989.0;2025-11-20;Nordøstarktisk torsk (8 114 kg) | Kongekrabbe  hann- (2 141 kg) | Brosme (520 kg)
1976003209;21;91;5638.4;256442.0;2025-12-04;Nordøstarktisk torsk (5 336 kg) | Sei (234 kg) | Kveite (50 kg)
1976003276;1;4;17281.0;0.0;2025-11-30;Makrell (17 049 kg) | Nordsjøsild (172 kg) | Hestmakrell (37 kg)
1976004475;10;49;1724.8;33680.0;2025-12-22;Rødspette (1 288 kg) | Annen skate og rokke (278 kg) | Torsk (40 kg)
1976005055;12;26;5334.5;234067.0;2025-09-03;Nordøstarktisk torsk (5 225 kg) | Sei (100 kg) | Lange (6 kg)
1976005671;59;353;324118.1;10572781.0;2025-08-25;Nordøstarktisk torsk (188 432 kg) | Nordøstarktisk hyse (78 489 kg) | Sei (56 358 kg)
1976006126;29;239;28206.4;1373097.0;2025-04-25;Nordøstarktisk torsk (26 953 kg) | Sei (458 kg) | Brosme (333 kg)
1976006228;11;67;30947.3;1449675.0;2025-05-07;Nordøstarktisk torsk (28 089 kg) | Sei (1 066 kg) | Nordøstarktisk hyse (536 kg)
1976006442;12;72;6466.0;294665.0;2025-04-24;Nordøstarktisk torsk (6 261 kg) | Sei (131 kg) | Breiflabb (28 kg)
1976006701;40;385;131987.9;5417067.0;2025-06-03;Nordøstarktisk torsk (81 982 kg) | Sei (30 070 kg) | Blåkveite (12 246 kg)
1976006738;74;373;41565.5;698843.0;2025-12-09;Sei (31 513 kg) | Nordøstarktisk torsk (9 717 kg) | Uer (vanlig) (218 kg)
1976007091;34;152;45067.4;1428600.0;2025-11-05;Sei (26 580 kg) | Nordøstarktisk torsk (15 636 kg) | Kongekrabbe  hann- (1 444 kg)
1976007460;9;51;2637.9;44522.0;2025-11-03;Kongekrabbe  hann- (1 516 kg) | Nordøstarktisk torsk (818 kg) | Kveite (172 kg)
1976007465;7;15;1182.0;14378.0;2025-12-11;Sei (571 kg) | Kveite (496 kg) | Nordøstarktisk torsk (115 kg)
1976007837;100;715;80847.5;1145362.0;2025-12-19;Sei (51 392 kg) | Nordøstarktisk torsk (17 000 kg) | Nordøstarktisk hyse (4 268 kg)
1976008231;21;120;13456.1;352844.0;2025-12-18;Nordøstarktisk torsk (6 151 kg) | Sei (3 497 kg) | Lyr (3 071 kg)
1976008495;59;154;5226.0;224976.0;2025-12-29;Breiflabb (3 583 kg) | Annen skate og rokke (440 kg) | Berggylt (417 kg)
1976008980;53;289;22850.4;841566.0;2025-12-10;Nordøstarktisk torsk (12 660 kg) | Breiflabb (5 827 kg) | Sei (1 506 kg)
1976009170;26;66;7419.0;191911.0;2025-12-05;Nordøstarktisk torsk (7 240 kg) | Sei (142 kg) | Kveite (20 kg)
