Kuukausi,Hyödyke,Tiedot,Kuukausi_label,Hyödyke_label,Tiedot_label,value
2024M09,01,ip_ykhi,2024M09,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",97.83
2024M10,01,ip_ykhi,2024M10,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",98.35
2024M11,01,ip_ykhi,2024M11,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",98.88
2024M12,01,ip_ykhi,2024M12,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",97.63
2025M01,01,ip_ykhi,2025M01,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",98.77
2025M02,01,ip_ykhi,2025M02,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",99.71
2025M03,01,ip_ykhi,2025M03,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",100.16
2025M04,01,ip_ykhi,2025M04,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",100.07
2025M05,01,ip_ykhi,2025M05,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",100.36
2025M06,01,ip_ykhi,2025M06,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",99.67
2025M07,01,ip_ykhi,2025M07,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",101.15
2025M08,01,ip_ykhi,2025M08,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",99.76
2025M09,01,ip_ykhi,2025M09,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",100.25
2025M10,01,ip_ykhi,2025M10,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",99.91
2025M11,01,ip_ykhi,2025M11,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",100.52
2025M12,01,ip_ykhi,2025M12,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",99.6
2026M01,01,ip_ykhi,2026M01,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, HICP",100.4
