freq,unit,coicop,geo,time,freq_label,unit_label,coicop_label,geo_label,time_label,value
M,I15,CP01,FI,2019-03,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2019-03,101.11
M,I15,CP01,FI,2019-04,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2019-04,101.59
M,I15,CP01,FI,2019-05,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2019-05,100.33
M,I15,CP01,FI,2019-06,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2019-06,100.7
M,I15,CP01,FI,2019-07,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2019-07,99.98
M,I15,CP01,FI,2019-08,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2019-08,101.57
M,I15,CP01,FI,2019-09,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2019-09,100.72
M,I15,CP01,FI,2019-10,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2019-10,100.95
M,I15,CP01,FI,2019-11,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2019-11,101.19
M,I15,CP01,FI,2019-12,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2019-12,102.12
M,I15,CP01,FI,2020-01,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2020-01,102.53
M,I15,CP01,FI,2020-02,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2020-02,103.37
M,I15,CP01,FI,2020-03,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2020-03,102.91
M,I15,CP01,FI,2020-04,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2020-04,102.64
M,I15,CP01,FI,2020-05,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2020-05,102.72
M,I15,CP01,FI,2020-06,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2020-06,103.12
M,I15,CP01,FI,2020-07,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2020-07,102.92
M,I15,CP01,FI,2020-08,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2020-08,102.47
M,I15,CP01,FI,2020-09,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2020-09,102.74
M,I15,CP01,FI,2020-10,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2020-10,102.68
M,I15,CP01,FI,2020-11,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2020-11,102.72
M,I15,CP01,FI,2020-12,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2020-12,102.31
M,I15,CP01,FI,2021-01,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2021-01,102.9
M,I15,CP01,FI,2021-02,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2021-02,103.22
M,I15,CP01,FI,2021-03,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2021-03,103.37
M,I15,CP01,FI,2021-04,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2021-04,103.52
M,I15,CP01,FI,2021-05,Monthly,"Index, 2015=100",Food and non-alcoholic beverages,Finland,2021-05,103.2
