VAREGR,ENHED,ContentsCode,Tid,VAREGR_label,ENHED_label,ContentsCode_label,Tid_label,value
01,100,PRIS07,2023M08,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2023M08,94.84
01,100,PRIS07,2023M09,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2023M09,94.21
01,100,PRIS07,2023M10,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2023M10,93.53
01,100,PRIS07,2023M11,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2023M11,93.47
01,100,PRIS07,2023M12,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2023M12,90.96
01,100,PRIS07,2024M01,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2024M01,93.2
01,100,PRIS07,2024M02,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2024M02,92.82
01,100,PRIS07,2024M03,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2024M03,93.44
01,100,PRIS07,2024M04,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2024M04,94.53
01,100,PRIS07,2024M05,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2024M05,94.79
01,100,PRIS07,2024M06,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2024M06,95.79
01,100,PRIS07,2024M07,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2024M07,96.87
01,100,PRIS07,2024M08,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2024M08,96.52
01,100,PRIS07,2024M09,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2024M09,96.82
01,100,PRIS07,2024M10,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2024M10,97.14
01,100,PRIS07,2024M11,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2024M11,97.16
01,100,PRIS07,2024M12,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2024M12,95.2
01,100,PRIS07,2025M01,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2025M01,97.29
01,100,PRIS07,2025M02,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2025M02,98.15
01,100,PRIS07,2025M03,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2025M03,98.15
01,100,PRIS07,2025M04,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2025M04,98.05
01,100,PRIS07,2025M05,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2025M05,99.72
01,100,PRIS07,2025M06,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2025M06,100.8
01,100,PRIS07,2025M07,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2025M07,103.16
01,100,PRIS07,2025M08,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2025M08,102.06
01,100,PRIS07,2025M09,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2025M09,101.91
01,100,PRIS07,2025M10,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2025M10,101.51
01,100,PRIS07,2025M11,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2025M11,100.61
01,100,PRIS07,2025M12,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2025M12,98.6
01,100,PRIS07,2026M01,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2026M01,100.97
01,100,PRIS07,2026M02,01 Fødevarer og ikke-alkoholiske drikkevarer,Indeks,EU-harmoniseret forbrugerprisindeks (HICP),2026M02,100.7
