Marked,NaringUtenriks,ContentsCode,Tid,Marked_label,NaringUtenriks_label,ContentsCode_label,Tid_label,value
01,SNN10,Indeksnivo,2025M03,Domestic market,Food products,Producer price index (2021=100),2025M03,134.7
01,SNN10,Indeksnivo,2025M04,Domestic market,Food products,Producer price index (2021=100),2025M04,134.9
01,SNN10,Indeksnivo,2025M05,Domestic market,Food products,Producer price index (2021=100),2025M05,134.5
01,SNN10,Indeksnivo,2025M06,Domestic market,Food products,Producer price index (2021=100),2025M06,134.2
01,SNN10,Indeksnivo,2025M07,Domestic market,Food products,Producer price index (2021=100),2025M07,135.6
01,SNN10,Indeksnivo,2025M08,Domestic market,Food products,Producer price index (2021=100),2025M08,135.7
01,SNN10,Indeksnivo,2025M09,Domestic market,Food products,Producer price index (2021=100),2025M09,134.8
01,SNN10,Indeksnivo,2025M10,Domestic market,Food products,Producer price index (2021=100),2025M10,135.4
01,SNN10,Indeksnivo,2025M11,Domestic market,Food products,Producer price index (2021=100),2025M11,135.7
01,SNN10,Indeksnivo,2025M12,Domestic market,Food products,Producer price index (2021=100),2025M12,136.1
01,SNN10,Indeksnivo,2026M01,Domestic market,Food products,Producer price index (2021=100),2026M01,137.1
01,SNN10,Indeksnivo,2026M02,Domestic market,Food products,Producer price index (2021=100),2026M02,141.4
