year,reporter,reporter_label,partner,partner_label,product,product_label,flow,value_eur,quantity_100kg,quantity_kg,quantity_tonnes,source_url
2022,BE,Belgium (incl. Luxembourg 'LU' -> 1998),SE,Sweden,1804,"Cocoa butter, fat and oil",EXPORT,143436,166.20,16620,16.620,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,BE,Belgium (incl. Luxembourg 'LU' -> 1998),SE,Sweden,1805,"Cocoa powder, not containing added sugar or other sweetening matter",EXPORT,35281,54.89,5489,5.489,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,BE,Belgium (incl. Luxembourg 'LU' -> 1998),SE,Sweden,1806,Chocolate and other food preparations containing cocoa,EXPORT,29389386,54742.87,5474287,5474.287,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,BE,Belgium (incl. Luxembourg 'LU' -> 1998),DK,Denmark,1801,"Cocoa beans, whole or broken, raw or roasted",EXPORT,56443,70.68,7068,7.068,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,BE,Belgium (incl. Luxembourg 'LU' -> 1998),DK,Denmark,1803,"Cocoa paste, whether or not defatted",EXPORT,84271,159.24,15924,15.924,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,BE,Belgium (incl. Luxembourg 'LU' -> 1998),DK,Denmark,1804,"Cocoa butter, fat and oil",EXPORT,275650,261.67,26167,26.167,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,BE,Belgium (incl. Luxembourg 'LU' -> 1998),DK,Denmark,1805,"Cocoa powder, not containing added sugar or other sweetening matter",EXPORT,121266,174.75,17475,17.475,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,BE,Belgium (incl. Luxembourg 'LU' -> 1998),DK,Denmark,1806,Chocolate and other food preparations containing cocoa,EXPORT,19421757,42037.57,4203757,4203.757,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,BE,Belgium (incl. Luxembourg 'LU' -> 1998),FI,Finland,1801,"Cocoa beans, whole or broken, raw or roasted",EXPORT,8408,6.89,689,0.689,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
2022,BE,Belgium (incl. Luxembourg 'LU' -> 1998),FI,Finland,1803,"Cocoa paste, whether or not defatted",EXPORT,77,0.10,10,0.010,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?format=JSON&lang=en&freq=A&flow=2&reporter=NL&reporter=BE&reporter=DE&partner=NO&partner=SE&partner=DK&partner=FI&product=1801&product=1802&product=1803&product=1804&product=1805&product=1806&time=2022&time=2023&time=2024&indicators=VALUE_IN_EUROS&indicators=QUANTITY_IN_100KG
