source_path,source_top_folder,filename,ext,size_bytes,modified_at,sha256,priority,project_fit,candidate_model,typed_layer_candidate,import_file_path,proposed_title,proposed_year,proposed_country,proposed_theme,proposed_doc_type,review_status,action,final_title,final_year,final_country,final_theme,final_doc_type,final_url,notes
Food Research Process 20.04.26/03_Policy_Governance_And_Market/cibus_year-end_report_2025.pdf,03_Policy_Governance_And_Market,cibus_year-end_report_2025.pdf,.pdf,7012643,2026-04-20T08:24:43.277Z,069b10c9ac668baacecbdbcd1837e14cdb8dec9d18e62763a3cf51c17f20bf76,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/069b10c9ac-cibus-year-end-report-2025.pdf,cibus year end report 2025,2025,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Dagligvare_ Forskjeller i innkjøpspriser ytterligere redusert - Konkurransetilsynet.pdf,03_Policy_Governance_And_Market,Dagligvare_ Forskjeller i innkjøpspriser ytterligere redusert - Konkurransetilsynet.pdf,.pdf,346784,2026-04-20T08:21:13.394Z,19fbdf32104a3567bb88cc4cf14292fdb00cad5bd7bc206285cb4af17a6aedd7,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/19fbdf3210-dagligvare-forskjeller-i-innkj-pspriser-ytterligere-redusert-konkurransetilsynet.pdf,Dagligvare: Forskjeller i innkjøpspriser ytterligere redusert - Konkurransetilsynet,,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/dagligvare_rapport.pdf,03_Policy_Governance_And_Market,dagligvare_rapport.pdf,.pdf,891279,2026-04-20T08:24:06.769Z,82be185d01c81edb1cd2bf34bd5eaa3dba7a9b22fbebf51dfc4c2153eba27630,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/82be185d01-dagligvare-rapport.pdf,dagligvare rapport,,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Dagligvaretilsynet-tildelingsbrev-2024.pdf,03_Policy_Governance_And_Market,Dagligvaretilsynet-tildelingsbrev-2024.pdf,.pdf,741570,2026-04-20T11:44:22.413Z,11ed41bcaca137394e43fe3d1154d07724857094d5dd1bb6f170f21fb55db2a4,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/11ed41bcac-dagligvaretilsynet-tildelingsbrev-2024.pdf,Dagligvaretilsynet - tildelingsbrev for 2024,2024,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Dagligvaretilsynet-tildelingsbrev-2025.pdf,03_Policy_Governance_And_Market,Dagligvaretilsynet-tildelingsbrev-2025.pdf,.pdf,374056,2026-04-20T11:44:18.993Z,7aaa0d71e1e75f64c9fcd17e0d316a7eaa87fb3112540fbf722c08cf818b39f1,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/7aaa0d71e1-dagligvaretilsynet-tildelingsbrev-2025.pdf,Dagligvaretilsynet - tildelingsbrev for 2025,2025,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Dagligvaretilsynet-tildelingsbrev-2026.pdf,03_Policy_Governance_And_Market,Dagligvaretilsynet-tildelingsbrev-2026.pdf,.pdf,362981,2026-04-20T11:44:15.221Z,8749cc79f983d80a10cd1e94ea723407f5d0506f52afa6410197f78f7413e062,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/8749cc79f9-dagligvaretilsynet-tildelingsbrev-2026.pdf,Dagligvaretilsynet - tildelingsbrev for 2026,2026,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Del-2.-Kartlegging-av-marginer-ved-bruk-av-informasjon-pa-produktniva.pdf,03_Policy_Governance_And_Market,Del-2.-Kartlegging-av-marginer-ved-bruk-av-informasjon-pa-produktniva.pdf,.pdf,2000797,2026-04-20T11:41:53.881Z,8f0116749aaf0441ff25ef372fbea8066a46ed22857df30da89932d916e78931,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/8f0116749a-del-2-kartlegging-av-marginer-ved-bruk-av-informasjon-pa-produktniva.pdf,Del 2 Kartlegging av marginer ved bruk av informasjon pa produktniva,,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Effekter-av-innkjopssamarbeid-i-det-norske-dagligvaremarkedet-masteroppgave-2015.pdf,03_Policy_Governance_And_Market,Effekter-av-innkjopssamarbeid-i-det-norske-dagligvaremarkedet-masteroppgave-2015.pdf,.pdf,5860235,2026-04-20T13:13:26.627Z,bef4051e02debcde89987ad2a490cc349ab571789a437b23a1e94a0efe991fd8,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/bef4051e02-effekter-av-innkjopssamarbeid-i-det-norske-dagligvaremarkedet-masteroppgave-2015.pdf,Microsoft Word - Masteroppgave revidert 3.docx,2015,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/Forbyr praksis som motvirker konkurranse i dagligvaremarkedet - regjeringen.no.pdf,03_Policy_Governance_And_Market,Forbyr praksis som motvirker konkurranse i dagligvaremarkedet - regjeringen.no.pdf,.pdf,169079,2026-04-20T11:50:35.883Z,f93b8ffb56bf747918402cf912234cf81d1b9401c44d450be687d5157380f17f,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/f93b8ffb56-forbyr-praksis-som-motvirker-konkurranse-i-dagligvaremarkedet-regjeringen-no.pdf,Forbyr praksis som motvirker konkurranse i dagligvaremarkedet - regjeringen.no,,,policy-governance-market,policy_report,pending,review,,,,,,,
Food Research Process 20.04.26/03_Policy_Governance_And_Market/fretheimrodnova-etableringshindringer-var-2020_isf_mro-2.pdf,03_Policy_Governance_And_Market,fretheimrodnova-etableringshindringer-var-2020_isf_mro-2.pdf,.pdf,1776647,2026-04-20T13:42:13.751Z,fe0a3ed77f4857d0bf325d7de61af1ac34211375ac7aa9a37993c6b1bd75d620,P1,yes,report-candidate,report-or-source,incoming/food-research-process-2026-04-20/03-policy-governance-and-market/fe0a3ed77f-fretheimrodnova-etableringshindringer-var-2020-isf-mro-2.pdf,fretheimrodnova etableringshindringer var 2020 isf mro 2,2020,,policy-governance-market,policy_report,pending,review,,,,,,,
